"date","aqi","category","aqi_category"
2016-07-04,75,"Moderate","Moderate"
2016-07-05,68,"Moderate","Moderate"
2016-07-06,64,"Moderate","Moderate"
2016-07-07,70,"Moderate","Moderate"
2016-07-08,59,"Moderate","Moderate"
2016-07-09,52,"Moderate","Moderate"
2016-07-10,65,"Moderate","Moderate"
2016-07-11,65,"Moderate","Moderate"
2016-07-12,76,"Moderate","Moderate"
2016-07-13,82,"Moderate","Moderate"
2016-07-14,89,"Moderate","Moderate"
2016-07-15,84,"Moderate","Moderate"
2016-07-16,95,"Moderate","Moderate"
2016-07-17,85,"Moderate","Moderate"
2016-07-18,92,"Moderate","Moderate"
2016-07-19,102,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-07-20,112,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-07-21,112,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-07-22,93,"Moderate","Moderate"
2016-07-23,89,"Moderate","Moderate"
2016-07-24,106,"Moderate","Unhealthy for Sensitive Groups"
2016-07-25,84,"Moderate","Moderate"
2016-07-26,81,"Moderate","Moderate"
2016-07-27,94,"Moderate","Moderate"
2016-07-28,95,"Moderate","Moderate"
2016-07-29,155,"Unhealthy","Unhealthy"
2016-07-30,128,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-07-31,99,"Moderate","Moderate"
2016-08-01,100,"Moderate","Moderate"
2016-08-02,63,"Moderate","Moderate"
2016-08-03,72,"Moderate","Moderate"
2016-08-04,66,"Moderate","Moderate"
2016-08-05,65,"Moderate","Moderate"
2016-08-06,70,"Moderate","Moderate"
2016-08-07,70,"Moderate","Moderate"
2016-08-08,77,"Moderate","Moderate"
2016-08-09,66,"Moderate","Moderate"
2016-08-10,57,"Moderate","Moderate"
2016-08-11,87,"Moderate","Moderate"
2016-08-12,95,"Moderate","Moderate"
2016-08-13,117,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-08-14,123,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-08-15,114,"Moderate","Unhealthy for Sensitive Groups"
2016-08-16,74,"Moderate","Moderate"
2016-08-17,56,"Moderate","Moderate"
2016-08-18,101,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-08-19,121,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-08-20,135,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-08-21,117,"Unhealthy","Unhealthy for Sensitive Groups"
2016-08-22,103,"Moderate","Unhealthy for Sensitive Groups"
2016-08-23,160,"Unhealthy","Unhealthy"
2016-08-24,158,"Unhealthy","Unhealthy"
2016-08-25,158,"Unhealthy","Unhealthy"
2016-08-26,90,"Moderate","Moderate"
2016-08-27,102,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-08-28,118,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-08-29,119,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-08-30,89,"Moderate","Moderate"
2016-08-31,75,"Moderate","Moderate"
2016-09-01,97,"Moderate","Moderate"
2016-09-02,107,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-09-03,93,"Moderate","Moderate"
2016-09-04,91,"Moderate","Moderate"
2016-09-05,76,"Moderate","Moderate"
2016-09-06,84,"Moderate","Moderate"
2016-09-07,103,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-09-08,128,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-09-09,130,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-09-10,132,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-09-11,117,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-09-12,119,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-09-13,80,"Moderate","Moderate"
2016-09-14,92,"Moderate","Moderate"
2016-09-15,90,"Moderate","Moderate"
2016-09-16,83,"Moderate","Moderate"
2016-09-17,76,"Moderate","Moderate"
2016-09-18,87,"Moderate","Moderate"
2016-09-19,89,"Moderate","Moderate"
2016-09-20,95,"Moderate","Moderate"
2016-09-21,93,"Moderate","Moderate"
2016-09-22,100,"Moderate","Moderate"
2016-09-23,95,"Moderate","Moderate"
2016-09-24,78,"Moderate","Moderate"
2016-09-25,94,"Moderate","Moderate"
2016-09-26,105,"Moderate","Unhealthy for Sensitive Groups"
2016-09-27,136,"Unhealthy","Unhealthy for Sensitive Groups"
2016-09-28,159,"Unhealthy","Unhealthy"
2016-09-29,126,"Unhealthy","Unhealthy for Sensitive Groups"
2016-09-30,111,"Moderate","Unhealthy for Sensitive Groups"
2016-10-01,120,"Unhealthy","Unhealthy for Sensitive Groups"
2016-10-02,139,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-10-03,141,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-10-04,162,"Unhealthy","Unhealthy"
2016-10-05,113,"Moderate","Unhealthy for Sensitive Groups"
2016-10-06,147,"Unhealthy","Unhealthy for Sensitive Groups"
2016-10-07,110,"Moderate","Unhealthy for Sensitive Groups"
2016-10-08,106,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-10-09,106,"Moderate","Unhealthy for Sensitive Groups"
2016-10-10,105,"Moderate","Unhealthy for Sensitive Groups"
2016-10-11,79,"Moderate","Moderate"
2016-10-12,105,"Moderate","Unhealthy for Sensitive Groups"
2016-10-13,164,"Unhealthy","Unhealthy"
2016-10-14,115,"Moderate","Unhealthy for Sensitive Groups"
2016-10-15,145,"Unhealthy","Unhealthy for Sensitive Groups"
2016-10-16,145,"Unhealthy","Unhealthy for Sensitive Groups"
2016-10-17,155,"Unhealthy","Unhealthy"
2016-10-18,159,"Unhealthy","Unhealthy"
2016-10-19,163,"Unhealthy","Unhealthy"
2016-10-20,138,"Unhealthy","Unhealthy for Sensitive Groups"
2016-10-21,151,"Unhealthy","Unhealthy"
2016-10-22,165,"Unhealthy","Unhealthy"
2016-10-23,159,"Unhealthy","Unhealthy"
2016-10-24,161,"Unhealthy","Unhealthy"
2016-10-25,164,"Unhealthy","Unhealthy"
2016-10-26,159,"Unhealthy","Unhealthy"
2016-10-27,122,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-10-28,112,"Moderate","Unhealthy for Sensitive Groups"
2016-10-29,116,"Moderate","Unhealthy for Sensitive Groups"
2016-10-30,113,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-10-31,133,"Unhealthy","Unhealthy for Sensitive Groups"
2016-11-01,136,"Unhealthy","Unhealthy for Sensitive Groups"
2016-11-02,132,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-11-03,134,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-11-04,137,"Unhealthy","Unhealthy for Sensitive Groups"
2016-11-05,89,"Moderate","Moderate"
2016-11-06,49,"Good","Good"
2016-11-07,107,"Moderate","Unhealthy for Sensitive Groups"
2016-11-08,168,"Unhealthy","Unhealthy"
2016-11-09,150,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-11-10,167,"Unhealthy","Unhealthy"
2016-11-11,242,"Unhealthy","Very Unhealthy"
2016-11-12,202,"Unhealthy","Very Unhealthy"
2016-11-13,203,"Unhealthy","Very Unhealthy"
2016-11-14,200,"Unhealthy","Unhealthy"
2016-11-15,210,"Very Unhealthy","Very Unhealthy"
2016-11-16,189,"Unhealthy","Unhealthy"
2016-11-17,179,"Unhealthy","Unhealthy"
2016-11-18,190,"Unhealthy","Unhealthy"
2016-11-19,194,"Very Unhealthy","Unhealthy"
2016-11-20,178,"Unhealthy","Unhealthy"
2016-11-21,171,"Unhealthy","Unhealthy"
2016-11-22,189,"Unhealthy","Unhealthy"
2016-11-23,197,"Unhealthy","Unhealthy"
2016-11-24,183,"Unhealthy","Unhealthy"
2016-11-25,235,"Unhealthy","Very Unhealthy"
2016-11-26,183,"Unhealthy","Unhealthy"
2016-11-27,182,"Unhealthy","Unhealthy"
2016-11-28,197,"Unhealthy","Unhealthy"
2016-11-29,183,"Unhealthy","Unhealthy"
2016-11-30,161,"Unhealthy","Unhealthy"
2016-12-01,170,"Unhealthy","Unhealthy"
2016-12-02,178,"Unhealthy","Unhealthy"
2016-12-03,206,"Unhealthy","Very Unhealthy"
2016-12-04,168,"Unhealthy","Unhealthy"
2016-12-05,189,"Unhealthy","Unhealthy"
2016-12-06,192,"Unhealthy","Unhealthy"
2016-12-07,198,"Unhealthy","Unhealthy"
2016-12-08,175,"Unhealthy","Unhealthy"
2016-12-09,199,"Very Unhealthy","Unhealthy"
2016-12-10,198,"Very Unhealthy","Unhealthy"
2016-12-11,203,"Unhealthy","Very Unhealthy"
2016-12-12,196,"Unhealthy","Unhealthy"
2016-12-13,205,"Very Unhealthy","Very Unhealthy"
2016-12-14,229,"Very Unhealthy","Very Unhealthy"
2016-12-15,232,"Very Unhealthy","Very Unhealthy"
2016-12-16,227,"Very Unhealthy","Very Unhealthy"
2016-12-17,246,"Very Unhealthy","Very Unhealthy"
2016-12-18,248,"Very Unhealthy","Very Unhealthy"
2016-12-19,238,"Very Unhealthy","Very Unhealthy"
2016-12-20,224,"Very Unhealthy","Very Unhealthy"
2016-12-21,265,"Very Unhealthy","Very Unhealthy"
2016-12-22,280,"Very Unhealthy","Very Unhealthy"
2016-12-23,290,"Very Unhealthy","Very Unhealthy"
2016-12-24,323,"Hazardous","Hazardous"
2016-12-25,254,"Very Unhealthy","Very Unhealthy"
2016-12-26,267,"Very Unhealthy","Very Unhealthy"
2016-12-27,222,"Very Unhealthy","Very Unhealthy"
2016-12-28,203,"Unhealthy","Very Unhealthy"
2016-12-29,213,"Very Unhealthy","Very Unhealthy"
2016-12-30,224,"Very Unhealthy","Very Unhealthy"
2016-12-31,242,"Very Unhealthy","Very Unhealthy"
2017-01-01,289,"Hazardous","Very Unhealthy"
2017-01-02,262,"Very Unhealthy","Very Unhealthy"
2017-01-03,242,"Unhealthy","Very Unhealthy"
2017-01-04,190,"Unhealthy","Unhealthy"
2017-01-05,253,"Very Unhealthy","Very Unhealthy"
2017-01-06,278,"Very Unhealthy","Very Unhealthy"
2017-01-08,198,"Unhealthy","Unhealthy"
2017-01-09,260,"Unhealthy","Very Unhealthy"
2017-01-10,244,"Unhealthy","Very Unhealthy"
2017-01-11,223,"Very Unhealthy","Very Unhealthy"
2017-01-12,209,"Unhealthy","Very Unhealthy"
2017-01-13,185,"Unhealthy","Unhealthy"
2017-01-14,198,"Unhealthy","Unhealthy"
2017-01-15,230,"Very Unhealthy","Very Unhealthy"
2017-01-16,224,"Very Unhealthy","Very Unhealthy"
2017-01-17,298,"Hazardous","Very Unhealthy"
2017-01-18,339,"Hazardous","Hazardous"
2017-01-19,246,"Very Unhealthy","Very Unhealthy"
2017-01-20,256,"Very Unhealthy","Very Unhealthy"
2017-01-21,246,"Very Unhealthy","Very Unhealthy"
2017-01-22,261,"Very Unhealthy","Very Unhealthy"
2017-01-23,262,"Very Unhealthy","Very Unhealthy"
2017-01-24,256,"Very Unhealthy","Very Unhealthy"
2017-01-25,300,"Hazardous","Very Unhealthy"
2017-01-26,282,"Unhealthy","Very Unhealthy"
2017-01-27,329,"Hazardous","Hazardous"
2017-01-28,250,"Very Unhealthy","Very Unhealthy"
2017-01-29,208,"Unhealthy","Very Unhealthy"
2017-01-30,188,"Unhealthy","Unhealthy"
2017-01-31,224,"Very Unhealthy","Very Unhealthy"
2017-02-01,259,"Very Unhealthy","Very Unhealthy"
2017-02-02,227,"Very Unhealthy","Very Unhealthy"
2017-02-03,279,"Very Unhealthy","Very Unhealthy"
2017-02-04,231,"Very Unhealthy","Very Unhealthy"
2017-02-05,186,"Unhealthy","Unhealthy"
2017-02-06,219,"Very Unhealthy","Very Unhealthy"
2017-02-07,187,"Unhealthy","Unhealthy"
2017-02-08,214,"Unhealthy","Very Unhealthy"
2017-02-09,205,"Very Unhealthy","Very Unhealthy"
2017-02-10,294,"Hazardous","Very Unhealthy"
2017-02-11,237,"Very Unhealthy","Very Unhealthy"
2017-02-12,187,"Unhealthy","Unhealthy"
2017-02-13,220,"Very Unhealthy","Very Unhealthy"
2017-02-14,273,"Very Unhealthy","Very Unhealthy"
2017-02-15,247,"Unhealthy","Very Unhealthy"
2017-02-16,231,"Very Unhealthy","Very Unhealthy"
2017-02-17,239,"Very Unhealthy","Very Unhealthy"
2017-02-18,261,"Very Unhealthy","Very Unhealthy"
2017-02-19,312,"Hazardous","Hazardous"
2017-02-20,228,"Unhealthy","Very Unhealthy"
2017-02-21,171,"Unhealthy","Unhealthy"
2017-02-22,164,"Unhealthy","Unhealthy"
2017-02-23,154,"Unhealthy","Unhealthy"
2017-02-27,201,"Very Unhealthy","Very Unhealthy"
2017-02-28,237,"Very Unhealthy","Very Unhealthy"
2017-03-01,233,"Very Unhealthy","Very Unhealthy"
2017-03-02,243,"Unhealthy","Very Unhealthy"
2017-03-03,175,"Unhealthy","Unhealthy"
2017-03-04,164,"Unhealthy","Unhealthy"
2017-03-05,143,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-03-06,154,"Unhealthy","Unhealthy"
2017-03-07,180,"Unhealthy","Unhealthy"
2017-03-08,178,"Unhealthy","Unhealthy"
2017-03-09,153,"Unhealthy","Unhealthy"
2017-03-10,160,"Unhealthy","Unhealthy"
2017-03-11,123,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-03-12,167,"Unhealthy","Unhealthy"
2017-03-13,167,"Unhealthy","Unhealthy"
2017-03-14,161,"Unhealthy","Unhealthy"
2017-03-15,184,"Unhealthy","Unhealthy"
2017-03-16,209,"Unhealthy","Very Unhealthy"
2017-03-17,237,"Unhealthy","Very Unhealthy"
2017-03-18,157,"Unhealthy","Unhealthy"
2017-03-19,175,"Unhealthy","Unhealthy"
2017-03-20,145,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-03-21,174,"Unhealthy","Unhealthy"
2017-03-22,179,"Unhealthy","Unhealthy"
2017-03-23,188,"Unhealthy","Unhealthy"
2017-03-24,188,"Unhealthy","Unhealthy"
2017-03-25,135,"Unhealthy","Unhealthy for Sensitive Groups"
2017-03-26,157,"Unhealthy","Unhealthy"
2017-03-27,163,"Unhealthy","Unhealthy"
2017-03-28,146,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-03-29,136,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-03-30,97,"Moderate","Moderate"
2017-03-31,123,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-01,97,"Moderate","Moderate"
2017-04-02,126,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-03,111,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-04,104,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-05,122,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-06,138,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-07,146,"Unhealthy","Unhealthy for Sensitive Groups"
2017-04-08,144,"Unhealthy","Unhealthy for Sensitive Groups"
2017-04-09,158,"Unhealthy","Unhealthy"
2017-04-10,150,"Unhealthy","Unhealthy for Sensitive Groups"
2017-04-11,161,"Unhealthy","Unhealthy"
2017-04-12,163,"Unhealthy","Unhealthy"
2017-04-13,197,"Unhealthy","Unhealthy"
2017-04-14,217,"Unhealthy","Very Unhealthy"
2017-04-15,152,"Unhealthy","Unhealthy"
2017-04-16,99,"Moderate","Moderate"
2017-04-17,161,"Unhealthy","Unhealthy"
2017-04-18,144,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-19,105,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-20,115,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-21,120,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-22,95,"Moderate","Moderate"
2017-04-23,138,"Unhealthy","Unhealthy for Sensitive Groups"
2017-04-24,118,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-25,147,"Unhealthy","Unhealthy for Sensitive Groups"
2017-04-26,156,"Unhealthy","Unhealthy"
2017-04-27,150,"Unhealthy","Unhealthy for Sensitive Groups"
2017-04-28,155,"Unhealthy","Unhealthy"
2017-04-29,123,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-04-30,144,"Unhealthy","Unhealthy for Sensitive Groups"
2017-05-01,110,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-02,115,"Moderate","Unhealthy for Sensitive Groups"
2017-05-03,168,"Unhealthy","Unhealthy"
2017-05-04,143,"Unhealthy","Unhealthy for Sensitive Groups"
2017-05-05,142,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-06,113,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-07,101,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-08,124,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-09,111,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-10,162,"Unhealthy","Unhealthy"
2017-05-11,115,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-12,145,"Unhealthy","Unhealthy for Sensitive Groups"
2017-05-13,147,"Unhealthy","Unhealthy for Sensitive Groups"
2017-05-14,128,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-15,92,"Moderate","Moderate"
2017-05-16,103,"Moderate","Unhealthy for Sensitive Groups"
2017-05-17,128,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-18,104,"Moderate","Unhealthy for Sensitive Groups"
2017-05-19,136,"Unhealthy","Unhealthy for Sensitive Groups"
2017-05-20,146,"Unhealthy","Unhealthy for Sensitive Groups"
2017-05-21,125,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-22,131,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-23,132,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-24,130,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-25,108,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-26,102,"Moderate","Unhealthy for Sensitive Groups"
2017-05-27,129,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-05-28,159,"Unhealthy","Unhealthy"
2017-05-29,136,"Unhealthy","Unhealthy for Sensitive Groups"
2017-05-30,72,"Moderate","Moderate"
2017-05-31,142,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-06-01,100,"Moderate","Moderate"
2017-06-02,96,"Moderate","Moderate"
2017-06-03,104,"Moderate","Unhealthy for Sensitive Groups"
2017-06-04,107,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-06-05,116,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-06-06,142,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-06-07,142,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2017-06-08,150,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
